dserafimova2@(deedclb010-guest2)(cfg-sync In Sync)(Active)(/Common)(tmos)# show net arp

----------------------------------------------------------------------------------------------------------------------------------
Net::Arp       
Name             Address          HWaddress          Vlan                                                  Expire-in-sec  Status
----------------------------------------------------------------------------------------------------------------------------------
10.3.99.1%4      10.3.99.1%4      b4:0c:25:eb:80:10  /BASFnet-SAP/vl_10.3.99.0-24_srv-SDCN-SAP             280            resolved
10.4.118.1%5     10.4.118.1%5     b4:0c:25:eb:80:10  /IPMS/vl_10.4.118.0-26_AccessNet-DC-VID805            280            resolved
10.4.118.129%4   10.4.118.129%4   b4:0c:25:eb:80:10  /BASFnet-SAP/vl_10.4.118.128-26-srv-HBI               280            resolved
10.4.219.1%4     10.4.219.1%4     b4:0c:25:eb:80:10  /BASFnet-SAP/vl_10.4.219.0-26_LBvips_TAN              280            resolved
10.4.219.43%4    10.4.219.43%4    14:a9:d0:32:fd:15  /BASFnet-SAP/vl_10.4.219.0-26_LBvips_TAN              299            resolved
10.92.96.2%1     10.92.96.2%1     bc:ea:fa:a4:d9:40  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              298            resolved
10.92.96.6%1     10.92.96.6%1     1c:98:ec:19:35:00  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              296            resolved
10.92.96.7%1     10.92.96.7%1     1c:98:ec:1a:d1:dd  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.21%1    10.92.96.21%1    00:17:a4:77:9c:48  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.22%1    10.92.96.22%1    00:17:a4:77:a4:00  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.23%1    10.92.96.23%1    00:17:a4:77:8c:0a  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.24%1    10.92.96.24%1    00:17:a4:77:e0:70  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.27%1    10.92.96.27%1    00:50:56:bf:0d:d1  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.28%1    10.92.96.28%1    00:50:56:bf:56:84  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.30%1    10.92.96.30%1    00:50:56:bf:5f:d4  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              243            resolved
10.92.96.31%1    10.92.96.31%1    00:50:56:bf:4e:17  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.39%1    10.92.96.39%1    00:50:56:bf:1a:0d  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.40%1    10.92.96.40%1    00:50:56:bf:53:60  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.41%1    10.92.96.41%1    1c:98:ec:2b:c5:14  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              285            resolved
10.92.96.42%1    10.92.96.42%1    1c:98:ec:2f:68:88  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.43%1    10.92.96.43%1    00:50:56:8b:36:09  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.44%1    10.92.96.44%1    00:50:56:8b:77:62  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.46%1    10.92.96.46%1    00:50:56:bf:2f:2c  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.55%1    10.92.96.55%1    00:50:56:bf:64:f7  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              223            resolved
10.92.96.60%1    10.92.96.60%1    00:17:a4:77:a4:08  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              285            resolved
10.92.96.61%1    10.92.96.61%1    00:17:a4:77:8c:4c  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              144            resolved
10.92.96.62%1    10.92.96.62%1    00:17:a4:77:9c:14  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.63%1    10.92.96.63%1    00:17:a4:77:e0:7a  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.66%1    10.92.96.66%1    00:50:56:bf:29:98  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.68%1    10.92.96.68%1    00:50:56:bf:5a:fa  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.75%1    10.92.96.75%1    00:50:56:bf:3d:88  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.76%1    10.92.96.76%1    00:50:56:bf:78:ed  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.77%1    10.92.96.77%1    00:50:56:bf:17:47  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.78%1    10.92.96.78%1    00:50:56:bf:26:02  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.81%1    10.92.96.81%1    3c:a8:2a:ea:f4:ab  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.82%1    10.92.96.82%1    94:18:82:83:01:64  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              285            resolved
10.92.96.83%1    10.92.96.83%1    3c:a8:2a:ea:f3:63  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.84%1    10.92.96.84%1    94:18:82:83:be:3c  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.85%1    10.92.96.85%1    94:18:82:71:3d:30  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.86%1    10.92.96.86%1    94:18:82:83:ce:10  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.87%1    10.92.96.87%1    30:e1:71:54:01:88  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              285            resolved
10.92.96.88%1    10.92.96.88%1    30:e1:71:54:f0:a4  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              296            resolved
10.92.96.89%1    10.92.96.89%1    00:50:56:b3:66:5e  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              193            resolved
10.92.96.94%1    10.92.96.94%1    00:50:56:bf:56:30  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.95%1    10.92.96.95%1    00:50:56:bf:46:3e  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.96%1    10.92.96.96%1    00:50:56:bf:3b:e4  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.97%1    10.92.96.97%1    00:50:56:bf:61:98  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.98%1    10.92.96.98%1    00:50:56:bf:46:d3  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.99%1    10.92.96.99%1    00:50:56:bf:78:a9  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.108%1   10.92.96.108%1   00:50:56:bf:58:70  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.118%1   10.92.96.118%1   00:50:56:bf:68:0d  /mpc-pcm/vl_10.92.96.0-25_mpc-pcmgmt-001              295            resolved
10.92.96.135%1   10.92.96.135%1   14:a9:d0:32:fd:12  /mpc-pcm/vl_10.92.96.128-25_mpc-basfpcm-001           299            resolved
10.92.96.142%1   10.92.96.142%1   incomplete         /mpc-pcm/vl_10.92.96.128-25_mpc-basfpcm-001           0              unknown
10.92.96.143%1   10.92.96.143%1   incomplete         /mpc-pcm/vl_10.92.96.128-25_mpc-basfpcm-001           0              unknown
10.92.100.2%2    10.92.100.2%2    bc:ea:fa:a4:d9:40  /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            286            resolved
10.92.100.7%2    10.92.100.7%2    14:a9:d0:32:fd:12  /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            299            resolved
10.92.100.10%2   10.92.100.10%2   00:0c:29:4f:7b:83  /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            281            resolved
10.92.100.20%2   10.92.100.20%2   incomplete         /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            0              unknown
10.92.100.24%2   10.92.100.24%2   00:50:56:ad:6b:e7  /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            113            resolved
10.92.100.28%2   10.92.100.28%2   00:50:56:be:ee:2a  /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            236            resolved
10.92.100.30%2   10.92.100.30%2   00:50:56:ad:39:94  /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            281            resolved
10.92.100.35%2   10.92.100.35%2   00:0c:29:26:82:c7  /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            281            resolved
10.92.100.37%2   10.92.100.37%2   incomplete         /mpcuat-pcm/vl_10.92.100.0-25_mpc-mgmt-002            0              unknown
