dserafimova2@(deedclb010-guest3)(cfg-sync In Sync)(Active)(/Common)(tmos)# show net arp

---------------------------------------------------------------------------------------------------------------------
Net::Arp       
Name             Address          HWaddress          Vlan                                     Expire-in-sec  Status
---------------------------------------------------------------------------------------------------------------------
10.92.255.178    10.92.255.178    14:a9:d0:32:fd:21  /Common/vl_10.92.255.176-29_guest3-hb1   129            resolved
10.92.255.186    10.92.255.186    14:a9:d0:32:fd:22  /Common/vl_10.92.255.184-29_guest3-hb2   190            resolved
10.93.187.1%3    10.93.187.1%3    00:00:5e:00:01:0c  /NetApp_FRA/vl_10.93.187.0-27_vlan1760   181            resolved
10.93.187.2%3    10.93.187.2%3    bc:ea:fa:a4:d9:40  /NetApp_FRA/vl_10.93.187.0-27_vlan1760   135            resolved
10.93.187.75%3   10.93.187.75%3   0c:42:a1:11:26:e5  /NetApp_FRA/vl_10.93.187.64-27_vlan1762  132            resolved
10.93.187.76%3   10.93.187.76%3   98:03:9b:48:d6:7d  /NetApp_FRA/vl_10.93.187.64-27_vlan1762  294            resolved
10.93.187.77%3   10.93.187.77%3   1c:34:da:50:e1:ed  /NetApp_FRA/vl_10.93.187.64-27_vlan1762  165            resolved
10.93.187.78%3   10.93.187.78%3   1c:34:da:76:4c:bd  /NetApp_FRA/vl_10.93.187.64-27_vlan1762  56             resolved
10.93.187.79%3   10.93.187.79%3   0c:42:a1:01:64:c9  /NetApp_FRA/vl_10.93.187.64-27_vlan1762  20             resolved
10.93.187.80%3   10.93.187.80%3   00:50:56:ba:37:14  /NetApp_FRA/vl_10.93.187.64-27_vlan1762  273            resolved
10.93.187.107%4  10.93.187.107%4  1c:34:da:71:06:57  /NetApp_RUE/vl_10.93.187.95-27_vlan1763  92             resolved
10.93.187.108%4  10.93.187.108%4  0c:42:a1:11:1f:59  /NetApp_RUE/vl_10.93.187.95-27_vlan1763  93             resolved
10.93.187.109%4  10.93.187.109%4  0c:42:a1:08:10:87  /NetApp_RUE/vl_10.93.187.95-27_vlan1763  149            resolved
10.93.187.110%4  10.93.187.110%4  1c:34:da:76:53:a9  /NetApp_RUE/vl_10.93.187.95-27_vlan1763  105            resolved
10.93.187.111%4  10.93.187.111%4  0c:42:a1:08:16:63  /NetApp_RUE/vl_10.93.187.95-27_vlan1763  137            resolved
